,100,600,1100,1600,2100,2600,3100,3600,4100,4600,5100,5600,6100,6600,7100,7600,8100,8600,9100,9600,10100
0,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002
1,0.013,0.013,0.015,0.014,0.014,0.014,0.013,0.014,0.013,0.014,0.013,0.014,0.014,0.014,0.013,0.014,0.013,0.016,0.013,0.013,0.013
2,0.015,0.016,0.016,0.015,0.016,0.021,0.014,0.015,0.015,0.017,0.019,0.018,0.015,0.016,0.014,0.016,0.015,0.015,0.015,0.016,0.016
3,0.019,0.021,0.02,0.022,0.021,0.019,0.019,0.02,0.019,0.026,0.021,0.021,0.021,0.02,0.021,0.021,0.024,0.021,0.021,0.02,0.019
4,0.022,0.025,0.021,0.028,0.026,0.02,0.018,0.019,0.027,0.02,0.019,0.02,0.026,0.019,0.022,0.02,0.021,0.02,0.019,0.019,0.018
6,0.024,0.026,0.029,0.029,0.026,0.027,0.029,0.024,0.028,0.042,0.03,0.027,0.022,0.026,0.025,0.032,0.025,0.029,0.029,0.028,0.03
8,0.033,0.031,0.031,0.034,0.036,0.035,0.035,0.036,0.04,0.035,0.037,0.041,0.039,0.03,0.034,0.037,0.035,0.041,0.034,0.035,0.034
12,0.046,0.046,0.048,0.074,0.051,0.045,0.046,0.046,0.05,0.049,0.053,0.047,0.051,0.046,0.05,0.049,0.055,0.052,0.048,0.052,0.049
16,0.055,0.066,0.066,0.063,0.066,0.062,0.063,0.065,0.06,0.065,0.064,0.065,0.063,0.058,0.059,0.064,0.061,0.063,0.064,0.063,0.067
24,0.096,0.084,0.085,0.088,0.088,0.087,0.09,0.091,0.092,0.094,0.093,0.084,0.093,0.14,0.092,0.09,0.086,0.098,0.085,0.094,0.09
32,0.118,0.106,0.115,0.116,0.117,0.112,0.111,0.114,0.118,0.11,0.125,0.121,0.103,0.128,0.115,0.11,0.124,0.119,0.101,0.118,0.113
48,0.164,0.169,0.19,0.177,0.188,0.191,0.18,0.182,0.184,0.171,0.186,0.176,0.162,0.169,0.171,0.185,0.182,0.189,0.183,0.186,0.159
